zc,Amplitude,Phase,Distance_min,Force_max,Energy_diss,Virial1,Deflection,Contact_time,Power_diss
2.200000000000000355e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.183100000000000307e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000000000355e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.933100000000000307e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000355e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.683100000000000307e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000355e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.433100000000000485e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000533e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.183100000000000485e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000005329e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.331000000000006622e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000006217e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.831000000000006622e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000007105e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.331000000000007510e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
