w1,w2,fre_amplitude
6.613152525771283097e-01,1.142389177431974989e+00,7.700000000000004619e+00
6.709838257212932255e-01,1.136953978010736499e+00,7.800000000000005151e+00
6.808878369404005593e-01,1.131683120108409657e+00,7.900000000000004796e+00
6.910189405936602025e-01,1.126559836111171498e+00,8.000000000000005329e+00
7.013905027084528232e-01,1.121572841037209667e+00,8.100000000000004974e+00
7.119976610204756806e-01,1.116703265490510022e+00,8.200000000000006395e+00
7.228483349878198627e-01,1.111934152288041044e+00,8.300000000000004263e+00
7.339577646245860620e-01,1.107248125653739423e+00,8.400000000000005684e+00
7.453395700959223324e-01,1.102623859785121230e+00,8.500000000000005329e+00
7.570106021290086140e-01,1.098036673561908927e+00,8.600000000000006750e+00
7.689920180504460356e-01,1.093457576428135125e+00,8.700000000000006395e+00
7.813135401215963727e-01,1.088852702542559836e+00,8.800000000000006040e+00
7.940172664983840001e-01,1.084181654568798114e+00,8.900000000000005684e+00
8.071391334877987545e-01,1.079388581524651114e+00,9.000000000000005329e+00
8.207585721432559822e-01,1.074409570496266619e+00,9.100000000000006750e+00
8.349503419896779910e-01,1.069150138306547149e+00,9.200000000000006395e+00
8.498509035907865217e-01,1.063484971157511838e+00,9.300000000000006040e+00
8.656453042153967603e-01,1.057222936074486030e+00,9.400000000000005684e+00
8.826380344397576350e-01,1.050057424126597194e+00,9.500000000000007105e+00
9.013840595989501825e-01,1.041432451117082936e+00,9.600000000000006750e+00
9.231195597698441668e-01,1.030111424215841565e+00,9.700000000000006395e+00
9.522924031144986978e-01,1.011646521585424008e+00,9.800000000000006040e+00
nan,nan,9.900000000000007461e+00
nan,nan,1.000000000000000711e+01
nan,nan,1.010000000000000675e+01
nan,nan,1.020000000000000639e+01
nan,nan,1.030000000000000782e+01
nan,nan,1.040000000000000746e+01
nan,nan,1.050000000000000711e+01
nan,nan,1.060000000000000675e+01
nan,nan,1.070000000000000817e+01
nan,nan,1.080000000000000782e+01
nan,nan,1.090000000000000746e+01
nan,nan,1.100000000000000711e+01
nan,nan,1.110000000000000853e+01
nan,nan,1.120000000000000817e+01
nan,nan,1.130000000000000604e+01
nan,nan,1.140000000000000746e+01
nan,nan,1.150000000000000888e+01
nan,nan,1.160000000000000853e+01
nan,nan,1.170000000000000639e+01
nan,nan,1.180000000000000782e+01
nan,nan,1.190000000000000924e+01
