w1,w2,fre_amplitude
9.748015831820839860e-01,1.024566675929733162e+00,1.000000000000000000e+08
9.771431777188237522e-01,1.022333707865273889e+00,1.100000000000000000e+08
9.790923956866292022e-01,1.020467089478449108e+00,1.200000000000000000e+08
9.807407120853897098e-01,1.018883043169451774e+00,1.300000000000000000e+08
9.821532182364466346e-01,1.017521526016914812e+00,1.400000000000000000e+08
9.833774950346488852e-01,1.016338379802405711e+00,1.499999999999999702e+08
9.844491306153099197e-01,1.015300403442626509e+00,1.599999999999999702e+08
9.853952752130381576e-01,1.014382152636678081e+00,1.699999999999999702e+08
9.862370022644455503e-01,1.013563799355738704e+00,1.799999999999999702e+08
9.869909186749227237e-01,1.012829663098999022e+00,1.899999999999999404e+08
9.876702888022544924e-01,1.012167180171967162e+00,1.999999999999999702e+08
9.882858352812770031e-01,1.011566165795588779e+00,2.099999999999999702e+08
9.888463201342112541e-01,1.011018276371415947e+00,2.199999999999999404e+08
9.893589734215187947e-01,1.010516611298556633e+00,2.299999999999999404e+08
9.898298141454652255e-01,1.010055413840623917e+00,2.399999999999999404e+08
9.902638937346982528e-01,1.009629843440354335e+00,2.499999999999999106e+08
9.906654830588552674e-01,1.009235800333977862e+00,2.599999999999999106e+08
9.910382176847478686e-01,1.008869788965968795e+00,2.699999999999998808e+08
9.913852118625997578e-01,1.008528810545414212e+00,2.799999999999999404e+08
9.917091488243344743e-01,1.008210277738782912e+00,2.899999999999999404e+08
9.920123529452056221e-01,1.007911946354500099e+00,2.999999999999999404e+08
9.922968478814270243e-01,1.007631860197256701e+00,3.099999999999999404e+08
9.925644037641023765e-01,1.007368306221916088e+00,3.199999999999998808e+08
9.928165757800673230e-01,1.007119777810137951e+00,3.299999999999998212e+08
9.930547359197863244e-01,1.006884944503235291e+00,3.399999999999998808e+08
9.932800992640490323e-01,1.006662626904367031e+00,3.499999999999998808e+08
9.934937458752924888e-01,1.006451775748187449e+00,3.599999999999998808e+08
9.936966391281237820e-01,1.006251454351978269e+00,3.699999999999998808e+08
9.938896411373333573e-01,1.006060823827219064e+00,3.799999999999998808e+08
9.940735258062175506e-01,1.005879130557541190e+00,3.899999999999998808e+08
