zc,Amplitude,Phase,Distance_min,Force_max,Energy_diss,Virial1,Deflection,Contact_time,Power_diss
1.250000000000000178e+01,9.999970029627615276e+00,8.999968195004511529e+01,2.331017381441737868e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089664862165974385e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+01,9.999970003215787884e+00,8.999968152936548904e+01,1.831017395537875458e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089219755737673059e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000178e+01,9.999970003426589926e+00,8.999968152912011021e+01,1.331017395321113295e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089224456355051851e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000178e+01,9.999970003178662026e+00,8.999968152807724664e+01,8.310173956150920249e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089220019763707913e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000355e+01,9.999970003438471977e+00,8.999968152916179065e+01,3.310173953075036812e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.089224676847647454e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000355e+01,1.000064943810844476e+01,8.992021592937055630e+01,-1.690044215424431340e-01,3.348124506146924517e+01,2.884589123996798010e-01,-1.046696394198962654e+00,3.511469215175777505e-03,5.859375000000000000e-02,2.508225750866646706e+02
9.500000000000003553e+00,1.000304173142235697e+01,8.870727896511409938e+01,-6.565880486047905862e-01,2.741903493635460336e+02,4.968640447907497482e+00,-1.704389939341930926e+01,5.735928028849688470e-02,1.132812500000000000e-01,5.305481197882450942e+03
9.000000000000005329e+00,9.985145366391471100e+00,8.623040923835833382e+01,-1.100680659577521814e+00,6.393489637703332846e+02,1.527997913262246321e+01,-4.916207969622293916e+01,1.681202965304071373e-01,1.425781250000000000e-01,1.719397581533792254e+04
8.500000000000005329e+00,9.922093052241137912e+00,8.300527914239665961e+01,-1.482106282363380156e+00,1.057002959525681035e+03,2.964054904423969461e+01,-8.946731233873394729e+01,3.122745669953835290e-01,1.621093750000000000e-01,3.429461615865217755e+04
8.000000000000005329e+00,9.804560839328109623e+00,7.951189544445554702e+01,-1.800360900772943085e+00,1.478566358356258661e+03,4.623236684510633410e+01,-1.306420617487732159e+02,4.676932344864790370e-01,1.738281250000000000e-01,5.430752798462835199e+04
7.500000000000006217e+00,9.636317882668885559e+00,7.602156386816355393e+01,-2.065035703836290981e+00,1.880370170995664466e+03,6.356737922420681031e+01,-1.685763706736614154e+02,6.219224813903574400e-01,1.855468750000000000e-01,7.539524471876240568e+04
7.000000000000006217e+00,9.425744712781130019e+00,7.264586190066958693e+01,-2.287096974921444481e+00,2.253572225311042075e+03,8.055458637817235967e+01,-2.014482352885237617e+02,7.697686149430387204e-01,1.933593750000000000e-01,9.641185395294026239e+04
6.500000000000007105e+00,9.180662765743694109e+00,6.941924028797160418e+01,-2.475203174361884084e+00,2.596694180608916213e+03,9.664803261207215712e+01,-2.287435701858039749e+02,9.095297049553355828e-01,1.992187500000000000e-01,1.166368265338618512e+05
6.000000000000007105e+00,8.907538514139986319e+00,6.634585842195563998e+01,-2.636439430017439189e+00,2.909441455431018767e+03,1.117066405880000417e+02,-2.503939960899293737e+02,1.040918862694965696e+00,2.070312500000000000e-01,1.356931860563041118e+05
5.500000000000007994e+00,8.611148374368069014e+00,6.341973446583376273e+01,-2.775237133075030282e+00,3.193975885461163671e+03,1.253552282786528593e+02,-2.666449854603498011e+02,1.164181483486830038e+00,2.109375000000000000e-01,1.533399390634529700e+05
5.000000000000007994e+00,8.295375859994942758e+00,6.063216995723088587e+01,-2.895406597231806600e+00,3.450932994362160571e+03,1.376551135368132748e+02,-2.777329577991209817e+02,1.279753599011270948e+00,2.167968750000000000e-01,1.693742157754241198e+05
4.500000000000008882e+00,7.963275037253536581e+00,5.797525339123725985e+01,-2.999604830865217675e+00,3.681607487044883328e+03,1.483457292674455061e+02,-2.839927402070462676e+02,1.388120732828773241e+00,2.226562500000000000e-01,1.836418186081091699e+05
4.000000000000009770e+00,7.617137205253344590e+00,5.544276011528030068e+01,-3.089666391713063121e+00,3.888039524701192931e+03,1.574783528178724339e+02,-2.857375710216607558e+02,1.489760313002679082e+00,2.265625000000000000e-01,1.962547366981805244e+05
3.500000000000009770e+00,7.259224565372790039e+00,5.303091806386410667e+01,-3.167408089553816808e+00,4.070503006071706750e+03,1.650601465578994009e+02,-2.832649399720045835e+02,1.585126962105692705e+00,2.324218750000000000e-01,2.069295701995889249e+05
3.000000000000010214e+00,6.891151932332730823e+00,5.073852277951866796e+01,-3.233894196148212163e+00,4.229420771143183629e+03,1.709173258308716754e+02,-2.768324354113242407e+02,1.674645807731385938e+00,2.382812500000000000e-01,2.156576583527724433e+05
