time,zdeflection,velocity,force,indentation,famp,fphat,freq_bas
3.001465559355153800e+00,3.086727462990487947e+00,1.893046954397000081e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.184243104718628702e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.003419638495359312e+00,3.192235337237935511e+00,1.886467465477035512e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.428353917616021153e-06,-7.540632949457857137e+01,3.498291015625000000e+05
3.005373717635564379e+00,3.297368981404544375e+00,1.879641190735387499e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.211921062179242083e-08,5.848982592691476157e+01,6.996582031250000000e+05
3.007327796775769446e+00,3.402114631130010558e+00,1.872568638934337650e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.152965288245123291e-08,1.588094470177726123e+02,1.049487304687500000e+06
3.009281875915974069e+00,3.506458551282413350e+00,1.865250353869723767e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.345528428786556317e-08,-9.348739910506905915e+01,1.399316406250000000e+06
3.011235955056180025e+00,3.610387037872441862e+00,1.857686914445355069e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.901135819429095663e-09,1.850256026532727915e+01,1.749145507812500000e+06
3.013190034196384648e+00,3.713886422019613054e+00,1.849878929393277213e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.651786417567662212e-09,1.218356113604640711e+02,2.098974609375000000e+06
3.015144113336589715e+00,3.816943069114739018e+00,1.841827044527859107e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.368481045668800357e-09,-1.331839344615046912e+02,2.448803710937500000e+06
3.017098192476795671e+00,3.919543380045135361e+00,1.833531944617486079e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.117419140458187801e-10,8.846016844187509776e+00,2.798632812500000000e+06
3.019052271617000294e+00,4.021673795596437451e+00,1.824994346968396712e+04,0.000000000000000000e+00,0.000000000000000000e+00,4.015233091536618177e-10,9.975563825136801199e+01,3.148461914062500000e+06
3.021006350757205361e+00,4.123320797445699348e+00,1.816215003902663375e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.709672296033399312e-10,8.346366524869864634e+01,3.498291015625000000e+06
3.022960429897410872e+00,4.224470910088089504e+00,1.807194702799654988e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.706156347116190268e-10,1.015237130590396362e+02,3.848120117187500000e+06
3.024914509037615939e+00,4.325110749241092734e+00,1.797934258351574317e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.220591601228116569e-10,1.285026576591427272e+02,4.197949218750000000e+06
3.026868588177821007e+00,4.425226811843238295e+00,1.788434527984739543e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.363950448184178205e-10,7.252422434244765270e+01,4.547778320312500000e+06
3.028822667318026518e+00,4.524805856723076225e+00,1.778696403500336237e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.662134831320905733e-10,9.593936954136805184e+01,4.897607421875000000e+06
3.030776746458231585e+00,4.623834588418576530e+00,1.768720810092865577e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.270993580828316017e-10,9.633787897651275500e+01,5.247436523437500000e+06
3.032730825598436653e+00,4.722299769602629205e+00,1.758508707796590897e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.357575087871847118e-10,9.854146383474821391e+01,5.597265625000000000e+06
3.034684904738642164e+00,4.820188223688075091e+00,1.748061089840723434e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.036561607576473842e-10,1.044068477577801701e+02,5.947094726562500000e+06
3.036638983878847231e+00,4.917486851571936768e+00,1.737378972077360959e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.027574009979044103e-10,8.956946455926542683e+01,6.296923828125000000e+06
3.038593063019052298e+00,5.014182579662881167e+00,1.726463425796099546e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.119645377154953669e-10,9.717838219648331233e+01,6.646752929687500000e+06
3.040547142159257366e+00,5.110262406206489416e+00,1.715315548475045216e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.662099153202612495e-11,9.913104476257102249e+01,6.996582031250000000e+06
3.042501221299462877e+00,5.205713387841681694e+00,1.703936472268868238e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.596433469573388908e-11,9.853037454001011497e+01,7.346411132812500000e+06
3.044455300439667944e+00,5.300522639600599994e+00,1.692327364008819495e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.556388709041893295e-11,1.012746524795867629e+02,7.696240234375000000e+06
3.046409379579872567e+00,5.394677334908782207e+00,1.680489425202707935e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.248162421841288179e-11,9.542402946989068369e+01,8.046069335937500000e+06
3.048363458720078523e+00,5.488164769990349967e+00,1.668423884577394347e+04,0.000000000000000000e+00,0.000000000000000000e+00,8.553737083180450358e-11,9.872503994319467324e+01,8.395898437500000000e+06
3.050317537860283146e+00,5.580972356848100446e+00,1.656131998891630428e+04,0.000000000000000000e+00,0.000000000000000000e+00,7.780621702426432981e-11,1.007052611587720179e+02,8.745727539062500000e+06
3.052271617000488213e+00,5.673087409074996756e+00,1.643615077737046522e+04,0.000000000000000000e+00,0.000000000000000000e+00,7.579665627009051720e-11,9.969601216452906556e+01,9.095556640625000000e+06
3.054225696140693724e+00,5.764497373593227891e+00,1.630874456704977456e+04,0.000000000000000000e+00,0.000000000000000000e+00,7.143695550661233116e-11,1.013545579444272136e+02,9.445385742187500000e+06
3.056179775280898792e+00,5.855189759836278540e+00,1.617911505586504245e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.863914375663165564e-11,9.874110233088971711e+01,9.795214843750000000e+06
3.058133854421103859e+00,5.945152194325244999e+00,1.604727624924250813e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.958690119648858939e-11,1.003731963158398770e+02,1.014504394531250000e+07
3.060087933561309370e+00,6.034372631491056183e+00,1.591324232692405167e+04,0.000000000000000000e+00,0.000000000000000000e+00,6.514723796490585221e-11,1.021528367890158222e+02,1.049487304687500000e+07
