zc,Amplitude,Phase,Distance_min,Force_max,Energy_diss,Virial1,Deflection,Contact_time,Power_diss
1.875000000000000355e+01,1.499549608615710738e+01,8.999130630677765907e+01,3.585502064026306890e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.016674971624859963e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000355e+01,1.499538059203675999e+01,8.999139895425759050e+01,2.835616464755969179e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.697672554693113437e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000355e+01,1.499541099264653532e+01,8.999133252689780704e+01,2.085587397576860624e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.046107082719876096e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000355e+01,1.499541766809505283e+01,8.999132750354611687e+01,1.335579827167537204e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.799957339644393829e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+01,1.499542373458176137e+01,8.999130396098104256e+01,5.855738328092510159e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.815788084017355620e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000178e+01,1.499298784474575896e+01,8.898161540088032950e+01,-1.619171959154173113e-01,2.133292754613563602e+01,-2.233213786459025893e-03,-9.023362894226583109e-01,6.857048319384376070e-04,4.687500000000000000e-02,9.684798952471884093e+01
1.425000000000000178e+01,1.465186976057961132e+01,7.754237445917681271e+01,-5.695929674514544905e-01,1.407530858643660565e+02,-1.346345176712529339e-02,-1.073863669591611369e+01,8.332071336377354712e-03,9.375000000000000000e-02,1.149526662289908927e+03
1.350000000000000178e+01,1.405042974633886566e+01,6.964824059586847227e+01,-7.172211587347406825e-01,1.988797827951146928e+02,2.099764474203946740e-02,-1.650668932911703735e+01,1.327036723462897069e-02,1.015625000000000000e-01,1.830998742326716638e+03
1.275000000000000178e+01,1.339386633373460178e+01,6.309131856961897711e+01,-8.095939422287433684e-01,2.385128995445516580e+02,2.476134915526696616e-03,-2.063422081992046131e+01,1.755169673874081016e-02,1.093750000000000000e-01,2.295874719670114246e+03
1.200000000000000178e+01,1.269210992629696833e+01,5.780274839863478320e+01,-8.572349136884905851e-01,2.598727686565035242e+02,2.249518463449488165e-02,-2.244843858554147076e+01,1.989535338102927514e-02,1.171875000000000000e-01,2.480460825726403073e+03
1.125000000000000178e+01,1.199754218005177187e+01,5.321606541630097098e+01,-9.118528726870767098e-01,2.851006143472035887e+02,-1.954047869357786529e-02,-2.440918711745858971e+01,2.316940157619185731e-02,1.192708333333333398e-01,2.725724143269000706e+03
1.050000000000000178e+01,1.128002820117248284e+01,4.859129452433468543e+01,-9.434650076541736263e-01,3.000541881035660481e+02,-3.955725414591027000e-02,-2.535608744102069778e+01,2.572612451452923471e-02,1.307291666666666741e-01,2.803545706370132393e+03
9.750000000000001776e+00,1.054063039903167542e+01,4.456582737482749224e+01,-9.535172928789542590e-01,3.048623955034802862e+02,-9.213684467982886797e-04,-2.498394815275768366e+01,2.670286053617583824e-02,1.328125000000000000e-01,2.800814864534133903e+03
9.000000000000001776e+00,9.810344743640907694e+00,4.097948506782446998e+01,-9.725805808684725440e-01,3.140504268987949104e+02,-7.293376103409448391e-03,-2.502447540194165043e+01,2.902589564227727945e-02,1.406250000000000000e-01,2.828051860539075278e+03
8.250000000000001776e+00,9.074270072559530220e+00,3.708172245182581861e+01,-9.856996763495283753e-01,3.204261252571971568e+02,-2.135919463573813723e-02,-2.464778573474337620e+01,3.124453765867205718e-02,1.484375000000000000e-01,2.784904325294154205e+03
7.500000000000000888e+00,8.315275367655827310e+00,3.358102488732187396e+01,-9.761052293274575797e-01,3.157591587641361457e+02,-5.968853068979481508e-03,-2.305079474130124950e+01,3.132470289553599546e-02,1.484375000000000000e-01,2.604055584502785223e+03
6.750000000000000888e+00,7.571206452237527529e+00,3.043782994550167231e+01,-9.813245164575011836e-01,3.182951129950066047e+02,1.848961333362935527e-02,-2.212003534197297938e+01,3.354782515048759794e-02,1.640625000000000000e-01,2.519204540937360434e+03
6.000000000000000888e+00,6.812073520319611220e+00,2.676810029304135696e+01,-9.711865070645758768e-01,3.133754403353094631e+02,-4.532822074446662963e-03,-2.044541555357826113e+01,3.441613880482537885e-02,1.718750000000000000e-01,2.347687439017503493e+03
5.250000000000000888e+00,6.046625473602572853e+00,2.393814083444548046e+01,-9.553004555635838946e-01,3.057179751453076051e+02,5.212521481872075570e-03,-1.858749422598566525e+01,3.526709742196004749e-02,1.718750000000000000e-01,2.143221552106450417e+03
4.500000000000000888e+00,5.279698127092800064e+00,2.036158065153503927e+01,-9.371440927504114393e-01,2.970438431479046812e+02,2.945178925363564973e-03,-1.654678103110459020e+01,3.601815714670522639e-02,1.875000000000000000e-01,1.920424516153735112e+03
