zc,Amplitude,Phase,Distance_min,Force_max,Energy_diss,Virial1,Deflection,Contact_time,Power_diss
1.875000000000000355e+01,1.499962815663144511e+01,8.999582077593122165e+01,3.581086851844595298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.391039595644755988e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000355e+01,1.499962539439115794e+01,8.999582261462030885e+01,2.831093838171364840e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.415584546192233782e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000355e+01,1.499962366399325475e+01,8.999582145622038354e+01,2.081092877050567225e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.403754427412242730e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000000000355e+01,1.499962366834301974e+01,8.999582146011567829e+01,1.331092874397914683e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.403765129013879918e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+01,1.499962366834691174e+01,8.999582146013150918e+01,5.810928743955025011e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.403765133605103153e-04,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000178e+01,1.500052556349610633e+01,8.996323357798382858e+01,-1.694781783688698862e-01,2.285877892701918768e+01,-7.789380120862880133e-05,-9.534012830114096948e-01,2.693524812525718241e-03,5.468750000000000000e-02,3.297200874597054394e+02
1.425000000000000178e+01,1.501512547395264896e+01,8.906446228497898687e+01,-9.181404402044427426e-01,2.882345393600828629e+02,-2.611554411500651221e-02,-2.757434533815957778e+01,6.270936640352831049e-02,1.093750000000000000e-01,1.100791131187852443e+04
1.350000000000000178e+01,1.502696408681922335e+01,8.712554026921633010e+01,-1.638767329434212439e+00,6.873189094245537945e+02,4.080382557555355116e-02,-8.442088019282947187e+01,1.934710026834977337e-01,1.484375000000000000e-01,3.540840181223193940e+04
1.275000000000000178e+01,1.500367737957334313e+01,8.448888233916004253e+01,-2.298665933820355889e+00,1.141816030319288529e+03,-2.122540640718077742e-02,-1.600542369085493135e+02,3.720393027951119924e-01,1.640625000000000000e-01,7.150930568274951656e+04
1.200000000000000178e+01,1.492683387098880665e+01,8.147877817852995008e+01,-2.886308275899796438e+00,1.606558034418089619e+03,-2.350256999076812681e-01,-2.430437945872300247e+02,5.758412655239965039e-01,1.875000000000000000e-01,1.145667308139317174e+05
1.125000000000000178e+01,1.479173602214096306e+01,7.832046839682995198e+01,-3.406694930321608528e+00,2.060071115130075668e+03,-5.891128717981800739e-02,-3.254126283691769004e+02,7.888730393681508968e-01,2.031250000000000000e-01,1.613663307752529799e+05
1.050000000000000178e+01,1.460066316985108514e+01,7.514166128779133658e+01,-3.867911502888322861e+00,2.492281764619914156e+03,-3.178900320753935138e-01,-4.023376705637139139e+02,1.001850253005236890e+00,2.109375000000000000e-01,2.095360380950500257e+05
9.750000000000001776e+00,1.435557698073690247e+01,7.200566077721970260e+01,-4.271603284099525055e+00,2.892469006350499058e+03,1.450756833832980430e-01,-4.710804461896374846e+02,1.209991362690705508e+00,2.187500000000000000e-01,2.572035223021525599e+05
9.000000000000001776e+00,1.406268155392388763e+01,6.894009970726530412e+01,-4.625802831227086465e+00,3.259590345821372921e+03,5.298721770593099040e-02,-5.304625953120914801e+02,1.411043990199561726e+00,2.265625000000000000e-01,3.030448259025540319e+05
8.250000000000001776e+00,1.372924517481009232e+01,6.595474709204007979e+01,-4.938844218298003241e+00,3.596005424263468740e+03,-7.595939949248886602e-02,-5.797456108898235243e+02,1.604062975992642581e+00,2.343750000000000000e-01,3.461623354995513218e+05
7.500000000000000888e+00,1.336349986019759406e+01,6.305067735628505687e+01,-5.222580506313896365e+00,3.910299852065767482e+03,1.474510980820480377e-01,-6.189849705399117283e+02,1.788778594768108521e+00,2.421875000000000000e-01,3.859511534692348796e+05
6.750000000000000888e+00,1.296473930155066689e+01,6.022500743042491678e+01,-5.473215158489028731e+00,4.195136806981971858e+03,-1.274701816982875824e-01,-6.482002592179240992e+02,1.965250748503800882e+00,2.500000000000000000e-01,4.219860431916349335e+05
6.000000000000000888e+00,1.253628008186042031e+01,5.747323461375718523e+01,-5.694472634773188879e+00,4.452076434742127276e+03,2.361259476788931388e-01,-6.675644631910413409e+02,2.133710403443059178e+00,2.578125000000000000e-01,4.539522774355288711e+05
5.250000000000000888e+00,1.208080040000796274e+01,5.479055433476663239e+01,-5.889277410946613500e+00,4.682473890616656718e+03,-9.712574568513646089e-02,-6.774525768313817480e+02,2.294457801918044382e+00,2.656250000000000000e-01,4.815988651466852752e+05
4.500000000000000888e+00,1.160266208850528713e+01,5.217224024387962800e+01,-6.059900022795903674e+00,4.887429830272980325e+03,1.808632206769586748e-01,-6.781045860359444077e+02,2.447845138533349285e+00,2.656250000000000000e-01,5.047145003122551716e+05
