w1,w2,fre_amplitude
nan,2.418988902278924158e+00,1.500000000000000222e+00
nan,2.322627771250414419e+00,1.650000000000000355e+00
nan,2.239072597887639571e+00,1.800000000000000488e+00
nan,2.165770866392837668e+00,1.950000000000000400e+00
nan,2.100824585261929389e+00,2.100000000000000533e+00
nan,2.042789687547598376e+00,2.250000000000000888e+00
nan,1.990545718843733658e+00,2.400000000000000799e+00
nan,1.943208460847845931e+00,2.550000000000000711e+00
nan,1.900069724137491312e+00,2.700000000000001066e+00
nan,1.860554865449120854e+00,2.850000000000000977e+00
nan,1.824192179786321866e+00,3.000000000000001332e+00
nan,1.790590436961596810e+00,3.150000000000001243e+00
nan,1.759422121525944682e+00,3.300000000000001599e+00
nan,1.730410741676683184e+00,3.450000000000001510e+00
nan,1.703321090095651247e+00,3.600000000000001421e+00
nan,1.677951678992128270e+00,3.750000000000002220e+00
nan,1.654128798709432413e+00,3.900000000000001688e+00
nan,1.631701804032314351e+00,4.050000000000001599e+00
nan,1.610539339601716691e+00,4.200000000000001954e+00
nan,1.590526291330907283e+00,4.350000000000002309e+00
nan,1.571561304589712549e+00,4.500000000000002665e+00
nan,1.553554748871520008e+00,4.650000000000002132e+00
nan,1.536427037154901365e+00,4.800000000000002487e+00
nan,1.520107229255356796e+00,4.950000000000002842e+00
nan,1.504531864223631166e+00,5.100000000000002309e+00
nan,1.489643978743236064e+00,5.250000000000002665e+00
nan,1.475392277540351404e+00,5.400000000000003020e+00
nan,1.461730428778633017e+00,5.550000000000003375e+00
nan,1.448616462799557469e+00,5.700000000000002842e+00
nan,1.436012256771775464e+00,5.850000000000002309e+00
nan,1.423883091114439337e+00,6.000000000000003553e+00
nan,1.412197266170181598e+00,6.150000000000003908e+00
nan,1.400925769680915201e+00,6.300000000000003375e+00
nan,1.390041987282621738e+00,6.450000000000002842e+00
nan,1.379521449574042435e+00,6.600000000000004086e+00
nan,1.369341610397628584e+00,6.750000000000004441e+00
nan,1.359481651852407769e+00,6.900000000000003908e+00
nan,1.349922312278701408e+00,7.050000000000003375e+00
nan,1.340645734046014503e+00,7.200000000000003730e+00
nan,1.331635328463026902e+00,7.350000000000004974e+00
2.356080457693621161e-08,1.322875655532295136e+00,7.500000000000004441e+00
1.499266081384125759e-01,1.314352316607731552e+00,7.650000000000003908e+00
2.103058331342128606e-01,1.306051858292665457e+00,7.800000000000003375e+00
2.555297659488697248e-01,1.297961686150294724e+00,7.950000000000004619e+00
2.927788049971764561e-01,1.290069986994669016e+00,8.100000000000004974e+00
3.248666147800166604e-01,1.282365658695433286e+00,8.250000000000003553e+00
3.532526646547973215e-01,1.274838246568671618e+00,8.400000000000005684e+00
3.788136872633532937e-01,1.267477885543547567e+00,8.550000000000006040e+00
4.021272196797029408e-01,1.260275247393469966e+00,8.700000000000004619e+00
4.235987381668729346e-01,1.253221492404049453e+00,8.850000000000004974e+00
4.435265589520497320e-01,1.246308224920366081e+00,9.000000000000005329e+00
4.621381774500602502e-01,1.239527452274912900e+00,9.150000000000005684e+00
4.796120822806983486e-01,1.232871546646434835e+00,9.300000000000006040e+00
4.960915837068829437e-01,1.226333209439912642e+00,9.450000000000004619e+00
5.116939737788664955e-01,1.219905437809993831e+00,9.600000000000006750e+00
5.265168182583190859e-01,1.213581492974878939e+00,9.750000000000007105e+00
5.406424122491304551e-01,1.207354869985391321e+00,9.900000000000005684e+00
5.541410187708207813e-01,1.201219268624857284e+00,1.005000000000000604e+01
5.670732765264815400e-01,1.195168565119381299e+00,1.020000000000000462e+01
5.794920259398347318e-01,1.189196784334765056e+00,1.035000000000000675e+01
5.914437187977057420e-01,1.183298072124999489e+00,1.050000000000000711e+01
6.029695240896049135e-01,1.177466667476899431e+00,1.065000000000000568e+01
6.141062084911401708e-01,1.171696874064549254e+00,1.080000000000000782e+01
6.248868472969116850e-01,1.165983030783607211e+00,1.095000000000000639e+01
6.353414062777419380e-01,1.160319480776316636e+00,1.110000000000000675e+01
6.454972243679032440e-01,1.154700538379251240e+00,1.125000000000000711e+01
6.553794196929747518e-01,1.149120453321974322e+00,1.140000000000000568e+01
6.650112362185672810e-01,1.143573371368471925e+00,1.155000000000000782e+01
6.744143445816109805e-01,1.138053290414186236e+00,1.170000000000000639e+01
6.836091080330221059e-01,1.132554010815508994e+00,1.185000000000000675e+01
6.926148225954691373e-01,1.127069078415802617e+00,1.200000000000000888e+01
7.014499393464811439e-01,1.121591718314118857e+00,1.215000000000000746e+01
7.101322760732442507e-01,1.116114756859272861e+00,1.230000000000000782e+01
7.186792253694933574e-01,1.110630528583788301e+00,1.245000000000000639e+01
7.271079665721223995e-01,1.105130763732216970e+00,1.260000000000000675e+01
7.354356898444673885e-01,1.099606450555375980e+00,1.275000000000000888e+01
7.436798423672115188e-01,1.094047664435457534e+00,1.290000000000000746e+01
7.518584092818014764e-01,1.088443352863271096e+00,1.305000000000000782e+01
7.599902462247553059e-01,1.082781060807417317e+00,1.320000000000000817e+01
7.680954867981464318e-01,1.077046574276302460e+00,1.335000000000000853e+01
7.761960585091624010e-01,1.071223449498208469e+00,1.350000000000000888e+01
7.843163569649532763e-01,1.065292378737980217e+00,1.365000000000000746e+01
7.924841547243027806e-01,1.059230317027844315e+00,1.380000000000000782e+01
8.007318662295493938e-01,1.053009248964387412e+00,1.395000000000000995e+01
8.090983694338125254e-01,1.046594395446271086e+00,1.410000000000000853e+01
8.176317306832359133e-01,1.039941514211225382e+00,1.425000000000000888e+01
8.263934638776689878e-01,1.032992663507475095e+00,1.440000000000000924e+01
8.354655485838825557e-01,1.025669204534011669e+00,1.455000000000000959e+01
8.449627808365980375e-01,1.017859469180732779e+00,1.470000000000000995e+01
8.550564514319993759e-01,1.009395098494398679e+00,1.485000000000000853e+01
8.660254037844391517e-01,9.999999999999995559e-01,1.500000000000000888e+01
8.783871411629315951e-01,9.891592542354400441e-01,1.515000000000000924e+01
8.933513821711389635e-01,9.756655717882617429e-01,1.530000000000001137e+01
9.161370976150755574e-01,9.543022678236835477e-01,1.545000000000000995e+01
nan,nan,1.560000000000001030e+01
nan,nan,1.575000000000001243e+01
nan,nan,1.590000000000000924e+01
nan,nan,1.605000000000000782e+01
nan,nan,1.620000000000000995e+01
nan,nan,1.635000000000001208e+01
nan,nan,1.650000000000000711e+01
nan,nan,1.665000000000000924e+01
nan,nan,1.680000000000001137e+01
nan,nan,1.695000000000000995e+01
nan,nan,1.710000000000001208e+01
nan,nan,1.725000000000001066e+01
nan,nan,1.740000000000000924e+01
nan,nan,1.755000000000001137e+01
nan,nan,1.770000000000001350e+01
nan,nan,1.785000000000001208e+01
