time,zdeflection,velocity,force,indentation,famp,fphat,freq_bas
3.005870841487279677e+00,4.427955747135346343e+00,2.969323497273401517e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.009757490391228700e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.013698630136986356e+00,5.087356004506116136e+00,2.926309744153756401e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.349329389230139052e-07,-7.585953125989752266e+01,3.493164062500000000e+05
3.021526418786692592e+00,5.736432017124046823e+00,2.877010783693047779e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.944224028389667154e-08,5.299629419060494229e+01,6.986328125000000000e+05
3.029354207436399271e+00,6.373786497420693031e+00,2.821504516469677401e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.010486576765549474e-08,1.420637405166511371e+02,1.047949218750000000e+06
3.037181996086105507e+00,6.998041473876506657e+00,2.759883022551849353e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.125238284350258692e-09,-1.181001340446672003e+02,1.397265625000000000e+06
3.045009784735812186e+00,7.607840978449098124e+00,2.692252606780549468e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.688029451526288481e-09,1.821011788975639334e+01,1.746582031250000000e+06
3.052837573385518422e+00,8.201854349681752865e+00,2.618733477133215274e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.333452192155249295e-09,9.995979484107692770e+01,2.095898437500000000e+06
3.060665362035225101e+00,8.778779208901596576e+00,2.539459658596547524e+04,0.000000000000000000e+00,0.000000000000000000e+00,5.141070245657392555e-10,1.330568105875219089e+02,2.445214843750000000e+06
3.068493150684931337e+00,9.337344756919918609e+00,2.454578766359441579e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.909676728830392875e-10,9.882190039279574023e+01,2.794531250000000000e+06
3.076320939334637572e+00,9.876313832871101539e+00,2.364251840572840229e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.747744661929385546e-10,1.082037113994453392e+02,3.143847656250000000e+06
3.084148727984344251e+00,1.039448799625916564e+01,2.268652930072693562e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.203875679010990384e-10,9.897244046204153278e+01,3.493164062500000000e+06
3.091976516634050487e+00,1.089070905942901391e+01,2.167968850024902349e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.542018197496727281e-10,1.041487663731538902e+02,3.842480468750000000e+06
3.099804305283757611e+00,1.136386185714108166e+01,2.062398839861111628e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.963575104537892891e-10,1.124462523767141846e+02,4.191796875000000000e+06
3.107632093933463846e+00,1.181287704353752588e+01,1.952154181607768624e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.624904502050796623e-10,1.092204123194733967e+02,4.541113281250000000e+06
3.115459882583170526e+00,1.223673365718772210e+01,1.837457808545643638e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.506121805853401620e-10,1.113770002645897819e+02,4.890429687500000000e+06
3.123287671232876761e+00,1.263446172479557283e+01,1.718543866604830691e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.286320788480588974e-10,1.112349702331640628e+02,5.239746093750000000e+06
3.131115459882582996e+00,1.300514539412833059e+01,1.595657140478641850e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.256569747979344503e-10,1.121349347064705029e+02,5.589062500000000000e+06
3.138943248532289676e+00,1.334792486547672041e+01,1.469052593316349339e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.107686255125597918e-10,1.158859512613375387e+02,5.938378906250000000e+06
3.146771037181995911e+00,1.366199814921824007e+01,1.338994899142065515e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.955360091775735706e-10,1.162488403888966957e+02,6.287695312500000000e+06
3.154598825831702591e+00,1.394662324731418401e+01,1.205757886227719609e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.877678503646802293e-10,1.176244451791328345e+02,6.637011718750000000e+06
3.162426614481408826e+00,1.420112038906964358e+01,1.069623925662833244e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.771241842842668631e-10,1.187561706552723990e+02,6.986328125000000000e+06
3.170254403131115506e+00,1.442487397966911367e+01,9.308833052734493322e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.719022479896174109e-10,1.195817634512969789e+02,7.335644531250000000e+06
3.178082191780821741e+00,1.461733424410653193e+01,7.898335994359340475e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.651735012227157771e-10,1.219063293268296917e+02,7.684960937500000000e+06
3.185909980430527977e+00,1.477801865682487303e+01,6.467790191174613938e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.570018484002756270e-10,1.230867709527182114e+02,8.034277343750000000e+06
3.193737769080234656e+00,1.490651325393019100e+01,5.020297290807435274e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.517872671676046856e-10,1.243574433441493596e+02,8.383593750000000000e+06
3.201565557729940892e+00,1.500247440654333531e+01,3.559012558521985738e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.457373243950972995e-10,1.257511813089854513e+02,8.732910156250000000e+06
3.209393346379648015e+00,1.506562921881126726e+01,2.087136246255432980e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.414952403341970147e-10,1.267645027479947544e+02,9.082226562500000000e+06
