w1,w2,fre_amplitude
9.748015831820839860e-01,1.024566675929733162e+00,1.500000000000000222e+00
9.771431777188237522e-01,1.022333707865273889e+00,1.650000000000000355e+00
9.790923956866292022e-01,1.020467089478449108e+00,1.800000000000000488e+00
9.807407120853897098e-01,1.018883043169451774e+00,1.950000000000000400e+00
9.821532182364466346e-01,1.017521526016914812e+00,2.100000000000000533e+00
9.833774950346488852e-01,1.016338379802405711e+00,2.250000000000000888e+00
9.844491306153100307e-01,1.015300403442626509e+00,2.400000000000000799e+00
9.853952752130381576e-01,1.014382152636678081e+00,2.550000000000000711e+00
9.862370022644455503e-01,1.013563799355738704e+00,2.700000000000001066e+00
9.869909186749227237e-01,1.012829663098999022e+00,2.850000000000000977e+00
9.876702888022544924e-01,1.012167180171967162e+00,3.000000000000001332e+00
9.882858352812770031e-01,1.011566165795588779e+00,3.150000000000001243e+00
9.888463201342112541e-01,1.011018276371415947e+00,3.300000000000001599e+00
9.893589734215187947e-01,1.010516611298556633e+00,3.450000000000001510e+00
9.898298141454652255e-01,1.010055413840623917e+00,3.600000000000001421e+00
9.902638937346982528e-01,1.009629843440354335e+00,3.750000000000002220e+00
9.906654830588552674e-01,1.009235800333977862e+00,3.900000000000001688e+00
9.910382176847478686e-01,1.008869788965968795e+00,4.050000000000001599e+00
9.913852118625997578e-01,1.008528810545414212e+00,4.200000000000001954e+00
9.917091488243344743e-01,1.008210277738782912e+00,4.350000000000002309e+00
9.920123529452056221e-01,1.007911946354500099e+00,4.500000000000002665e+00
9.922968478814270243e-01,1.007631860197256701e+00,4.650000000000002132e+00
9.925644037641023765e-01,1.007368306221916088e+00,4.800000000000002487e+00
9.928165757800674340e-01,1.007119777810137951e+00,4.950000000000002842e+00
9.930547359197863244e-01,1.006884944503235291e+00,5.100000000000002309e+00
9.932800992640490323e-01,1.006662626904367031e+00,5.250000000000002665e+00
9.934937458752924888e-01,1.006451775748187449e+00,5.400000000000003020e+00
9.936966391281237820e-01,1.006251454351978269e+00,5.550000000000003375e+00
9.938896411373333573e-01,1.006060823827219064e+00,5.700000000000002842e+00
9.940735258062175506e-01,1.005879130557541190e+00,5.850000000000002309e+00
9.942489899131420339e-01,1.005705695547507883e+00,6.000000000000003553e+00
9.944166625724861763e-01,1.005539905323601824e+00,6.150000000000003908e+00
9.945771133419041288e-01,1.005381204129301986e+00,6.300000000000003375e+00
9.947308591971104619e-01,1.005229087203995730e+00,6.450000000000002842e+00
9.948783705550818812e-01,1.005083094973577396e+00,6.600000000000004086e+00
9.950200764943374354e-01,1.004942808011084265e+00,6.750000000000004441e+00
9.951563692950605722e-01,1.004807842650261573e+00,6.900000000000003908e+00
9.952876084008984714e-01,1.004677847154808124e+00,7.050000000000003375e+00
9.954141238872882269e-01,1.004552498362182300e+00,7.200000000000003730e+00
9.955362195073077514e-01,1.004431498734033923e+00,7.350000000000004974e+00
9.956541753746942502e-01,1.004314573756120321e+00,7.500000000000004441e+00
9.957682503343454616e-01,1.004201469639472322e+00,7.650000000000003908e+00
9.958786840629026971e-01,1.004091951281923745e+00,7.800000000000003375e+00
9.959856989356301593e-01,1.003985800455217792e+00,7.950000000000004619e+00
9.960895016904915966e-01,1.003882814187984973e+00,8.100000000000004974e+00
9.961902849158920104e-01,1.003782803319121397e+00,8.250000000000003553e+00
9.962882283848517595e-01,1.003685591199641181e+00,8.400000000000005684e+00
9.963835002552700049e-01,1.003591012524054138e+00,8.550000000000006040e+00
9.964762581533360697e-01,1.003498912274809474e+00,8.700000000000004619e+00
9.965666501549550471e-01,1.003409144765449845e+00,8.850000000000004974e+00
9.966548156782235601e-01,1.003321572769870329e+00,9.000000000000005329e+00
9.967408862984533657e-01,1.003236066726557407e+00,9.150000000000005684e+00
9.968249864959665141e-01,1.003152504007898127e+00,9.300000000000006040e+00
9.969072343458260654e-01,1.003070768245668765e+00,9.450000000000004619e+00
9.969877421578163812e-01,1.002990748704622570e+00,9.600000000000006750e+00
9.970666170743046619e-01,1.002912339696746313e+00,9.750000000000007105e+00
9.971439616331054800e-01,1.002835440029238301e+00,9.900000000000005684e+00
9.972198743021207790e-01,1.002759952479586492e+00,1.005000000000000604e+01
9.972944499923331874e-01,1.002685783291300980e+00,1.020000000000000462e+01
9.973677805557034093e-01,1.002612841683862666e+00,1.035000000000000675e+01
9.974399552746809894e-01,1.002541039370280496e+00,1.050000000000000711e+01
9.975110613503902490e-01,1.002470290075280879e+00,1.065000000000000568e+01
9.975811843971607029e-01,1.002400509046537769e+00,1.080000000000000782e+01
9.976504089519596663e-01,1.002331612550451112e+00,1.095000000000000639e+01
9.977197642048674098e-01,1.002264453091366914e+00,1.110000000000000675e+01
9.978596795087025795e-01,1.002268587145276335e+00,1.125000000000000711e+01
9.981087505358765544e-01,1.002382044718944876e+00,1.140000000000000568e+01
9.984601892582926075e-01,1.002597916087224927e+00,1.155000000000000782e+01
9.989077074724875827e-01,1.002909775704045492e+00,1.170000000000000639e+01
9.994455219910856059e-01,1.003311684783936064e+00,1.185000000000000675e+01
1.000068219938961001e+00,1.003798054813068941e+00,1.200000000000000888e+01
1.000770817486507092e+00,1.004363701737042813e+00,1.215000000000000746e+01
1.001548729861221787e+00,1.005003811256020230e+00,1.230000000000000782e+01
1.002397654006083272e+00,1.005713816264423244e+00,1.245000000000000639e+01
1.003313654152419909e+00,1.006489473094220433e+00,1.260000000000000675e+01
1.004293091125692428e+00,1.007326780333139604e+00,1.275000000000000888e+01
1.005332603506872813e+00,1.008221944943404003e+00,1.290000000000000746e+01
1.006429101769257262e+00,1.009171355268030812e+00,1.305000000000000782e+01
1.007579787736519572e+00,1.010171569987429629e+00,1.320000000000000817e+01
1.008782139073229445e+00,1.011219258176978331e+00,1.335000000000000853e+01
1.010033990823705263e+00,1.012311211613635686e+00,1.350000000000000888e+01
1.011333393843205641e+00,1.013444095910162046e+00,1.365000000000000746e+01
1.012678977312881701e+00,1.014614623713464336e+00,1.380000000000000782e+01
1.014069803872010844e+00,1.015819076002590693e+00,1.395000000000000995e+01
1.015505945855012859e+00,1.017053198024868932e+00,1.410000000000000853e+01
1.016989144897585851e+00,1.018311306243901315e+00,1.425000000000000888e+01
1.018524967492711930e+00,1.019584033090712438e+00,1.440000000000000924e+01
1.020132213032507229e+00,1.020849042044610355e+00,1.455000000000000959e+01
nan,nan,1.470000000000000995e+01
nan,nan,1.485000000000000853e+01
nan,nan,1.500000000000000888e+01
nan,nan,1.515000000000000924e+01
nan,nan,1.530000000000001137e+01
nan,nan,1.545000000000000995e+01
nan,nan,1.560000000000001030e+01
nan,nan,1.575000000000001243e+01
nan,nan,1.590000000000000924e+01
nan,nan,1.605000000000000782e+01
nan,nan,1.620000000000000995e+01
nan,nan,1.635000000000001208e+01
nan,nan,1.650000000000000711e+01
nan,nan,1.665000000000000924e+01
nan,nan,1.680000000000001137e+01
nan,nan,1.695000000000000995e+01
nan,nan,1.710000000000001208e+01
nan,nan,1.725000000000001066e+01
nan,nan,1.740000000000000924e+01
nan,nan,1.755000000000001137e+01
nan,nan,1.770000000000001350e+01
nan,nan,1.785000000000001208e+01
