time,zdeflection,velocity,force,indentation,famp,fphat,freq_bas
2.940074334403681178e+02,7.634710744133968774e+00,5.803905451801648269e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.448525102628856905e-08,0.000000000000000000e+00,0.000000000000000000e+00
2.940152461378979183e+02,8.078808061398445872e+00,5.562440626526520646e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.822985691281295263e-10,3.191556163982403937e+00,6.666498112189859967e+03
2.940230588354276620e+02,8.503514932794976389e+00,5.307624842928075850e+03,0.000000000000000000e+00,0.000000000000000000e+00,4.998293437057431668e-10,-7.507378243889047731e+00,1.333299622437971993e+04
2.940308715329574625e+02,8.907812015251151294e+00,5.040069630748279451e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.265347568243031312e-10,-1.475795110394851584e+01,1.999949433656957990e+04
2.940386842304872062e+02,9.290729444090771949e+00,4.760417010263287011e+03,0.000000000000000000e+00,0.000000000000000000e+00,5.647284801139173746e-10,-2.095624877774075046e+01,2.666599244875943987e+04
2.940464969280170067e+02,9.651347967543390638e+00,4.469338215916136505e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.170842785224052479e-10,-2.616028634618950477e+01,3.333249056094929983e+04
2.940543096255467503e+02,9.988801841221969013e+00,4.167531859893462752e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.845420257090272920e-10,-3.100509826467369834e+01,3.999898867313915980e+04
2.940621223230765509e+02,1.030228085877646116e+01,3.855722317496597498e+03,0.000000000000000000e+00,0.000000000000000000e+00,7.743196554213369391e-10,-3.520920803093330420e+01,4.666548678532901977e+04
2.940699350206062945e+02,1.059103255527626786e+01,3.534658064319623918e+03,0.000000000000000000e+00,0.000000000000000000e+00,8.920375377982294167e-10,-3.897212052561432927e+01,5.333198489751887973e+04
2.940777477181360950e+02,1.085436368945470953e+01,3.205109616470739184e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.054558899121708504e-09,-4.226987732911673845e+01,5.999848300970873970e+04
2.940855604156658387e+02,1.109164247986072382e+01,2.867868015425554404e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.279017644369548319e-09,-4.512026999948519546e+01,6.666498112189859967e+04
2.940933731131956392e+02,1.130229933780008622e+01,2.523742628987678017e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.624099803196863379e-09,-4.773447974255348214e+01,7.333147923408845963e+04
2.941011858107253829e+02,1.148582866979737993e+01,2.173559389834681497e+03,0.000000000000000000e+00,0.000000000000000000e+00,2.198859022839533377e-09,-4.974644612369208119e+01,7.999797734627831960e+04
2.941089985082551834e+02,1.164179006032257035e+01,1.818158815915376863e+03,0.000000000000000000e+00,0.000000000000000000e+00,3.339755814827539588e-09,-5.126597295895813033e+01,8.666447545846817957e+04
2.941168112057849271e+02,1.176980894060734961e+01,1.458393863364474555e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.805995581807152679e-09,-5.125641330204269508e+01,9.333097357065803953e+04
2.941246239033147276e+02,1.186957812865499839e+01,1.095128077434175793e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.150874066376959830e-05,-5.047182998070740467e+01,9.999747168284789950e+04
