time,zdeflection,velocity,force,indentation,famp,fphat,freq_bas
3.005870841487279677e+00,4.426575421077722616e+00,2.969517422465119671e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.009367859479854707e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.013698630136986356e+00,5.086020149447293193e+00,2.926513476252420878e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.349522693249466304e-07,-7.586417926865550498e+01,3.493164062500000000e+05
3.021526418786692592e+00,5.735142741228326457e+00,2.877223592381613344e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.943073371013336959e-08,5.298781827398297395e+01,6.986328125000000000e+05
3.029354207436399271e+00,6.372545784828545834e+00,2.821725673517069299e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.010105587484077248e-08,1.420465250960839683e+02,1.047949218750000000e+06
3.037181996086105507e+00,6.996850884387881386e+00,2.760111844514605036e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.123451520634861691e-09,-1.181306928459017200e+02,1.397265625000000000e+06
3.045009784735812186e+00,7.606701827637897040e+00,2.692488347819535920e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.686830925605032099e-09,1.820041576635366454e+01,1.746582031250000000e+06
3.052837573385518422e+00,8.200767741359742402e+00,2.618975418120786708e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.332945438112797759e-09,9.994183275418711787e+01,2.095898437500000000e+06
3.060665362035225101e+00,8.777746179334160459e+00,2.539707089174632347e+04,0.000000000000000000e+00,0.000000000000000000e+00,5.142028439087435276e-10,1.330203970452486146e+02,2.445214843750000000e+06
3.068493150684931337e+00,9.336366196270493134e+00,2.454830997099885280e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.910651538262515984e-10,9.883473382875457958e+01,2.794531250000000000e+06
3.076320939334637572e+00,9.875391356711652691e+00,2.364508130665273347e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.747882909693465295e-10,1.082096607227454541e+02,3.143847656250000000e+06
3.084148727984344251e+00,1.039362271999224951e+01,2.268912571154220859e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.203723148303433691e-10,9.897938542750850388e+01,3.493164062500000000e+06
3.091976516634050487e+00,1.088990170085944698e+01,2.168231153274178359e+04,0.000000000000000000e+00,0.000000000000000000e+00,3.541905173358981960e-10,1.041440007524714133e+02,3.842480468750000000e+06
3.099804305283757611e+00,1.136311289308497763e+01,2.062663129889475022e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.963963597459556160e-10,1.124407401985006203e+02,4.191796875000000000e+06
3.107632093933463846e+00,1.181218679798652538e+01,1.952419790471688248e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.625246221029403341e-10,1.092241029152348943e+02,4.541113281250000000e+06
3.115459882583170526e+00,1.223610250654181542e+01,1.837724063483493592e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.506304866180792031e-10,1.113780861927711783e+02,4.890429687500000000e+06
3.123287671232876761e+00,1.263389021448822369e+01,1.718810057687445442e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.286418518645140530e-10,1.112364179563487738e+02,5.239746093750000000e+06
3.131115459882582996e+00,1.300463367687512850e+01,1.595922592780884406e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.256645818369475225e-10,1.121348683457423192e+02,5.589062500000000000e+06
3.138943248532289676e+00,1.334747254553464302e+01,1.469316697220085734e+04,0.000000000000000000e+00,0.000000000000000000e+00,2.107858847751009904e-10,1.158834413038902085e+02,5.938378906250000000e+06
3.146771037181995911e+00,1.366160462737836490e+01,1.339257086320787130e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.955575495918473098e-10,1.162491665099256863e+02,6.287695312500000000e+06
3.154598825831702591e+00,1.394628796185459763e+01,1.206017595694516240e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.877871069825189553e-10,1.176257560843248910e+02,6.637011718750000000e+06
3.162426614481408826e+00,1.420084278206430461e+01,1.069880595869266836e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.771341262165218184e-10,1.187568867867460796e+02,6.986328125000000000e+06
3.170254403131115506e+00,1.442465336572843526e+01,9.311363870160941588e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.719105553105264143e-10,1.195800641522200181e+02,7.335644531250000000e+06
3.178082191780821741e+00,1.461716975904283622e+01,7.900825712508981269e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.651874495178499290e-10,1.219041251645104751e+02,7.684960937500000000e+06
3.185909980430527977e+00,1.477790934161193448e+01,6.470233985434278111e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.570127799647105216e-10,1.230865723524215127e+02,8.034277343750000000e+06
3.193737769080234656e+00,1.490645818193299732e+01,5.022690849383649038e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.517958434647921849e-10,1.243570245837086503e+02,8.383593750000000000e+06
3.201565557729940892e+00,1.500247230753019068e+01,3.561351242513579564e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.457468260277060048e-10,1.257513407213965735e+02,8.732910156250000000e+06
3.209393346379648015e+00,1.506567888954461587e+01,2.089415893038470131e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.415020343291540363e-10,1.267652219797245436e+02,9.082226562500000000e+06
3.217221135029353807e+00,1.509587716149223091e+01,6.101240168114744620e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.375359615213943116e-10,1.285378659492286886e+02,9.431542968750000000e+06
3.225048923679060930e+00,1.509293907926803868e+01,-8.732541641302699418e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.326375906474925155e-10,1.299447019918108310e+02,9.780859375000000000e+06
3.232876712328767166e+00,1.505681003247621597e+01,-2.357424807546218290e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.290138956033781690e-10,1.312297422804465441e+02,1.013017578125000000e+07
3.240704500978473845e+00,1.498750935840659615e+01,-3.839078034994583504e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.252131958645016471e-10,1.326750176600061479e+02,1.047949218750000000e+07
3.248532289628180081e+00,1.488513041915012280e+01,-5.314895741217563227e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.220549453608674290e-10,1.338383316965215499e+02,1.082880859375000000e+07
3.256360078277886316e+00,1.474984078072952798e+01,-6.781559232172422526e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.194076533825940265e-10,1.353762931239528484e+02,1.117812500000000000e+07
3.264187866927592996e+00,1.458188224314637971e+01,-8.235756988641111093e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.162548363151123726e-10,1.368409989911231435e+02,1.152744140625000000e+07
3.272015655577299231e+00,1.438157046938901473e+01,-9.674192545723410149e+03,0.000000000000000000e+00,0.000000000000000000e+00,1.136763687404376575e-10,1.381561812368724134e+02,1.187675781250000000e+07
3.279843444227005911e+00,1.414929455858718832e+01,-1.109359225282804982e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.111441120736278106e-10,1.396009022646668427e+02,1.222607421875000000e+07
3.287671232876712146e+00,1.388551684285892485e+01,-1.249071308744656926e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.088341430854763155e-10,1.408648137325392327e+02,1.257539062500000000e+07
3.295499021526418826e+00,1.359077119295807634e+01,-1.386235039849135137e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.069605459478013135e-10,1.422976679036515861e+02,1.292470703125000000e+07
3.303326810176125061e+00,1.326566337356757330e+01,-1.520534568555802252e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.048477176366417288e-10,1.437656114286358218e+02,1.327402343750000000e+07
3.311154598825831297e+00,1.291086849027194283e+01,-1.651659413781437615e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.029938912640079549e-10,1.451101483186141650e+02,1.362333984375000000e+07
3.318982387475537976e+00,1.252713091958441716e+01,-1.779305231800890397e+04,0.000000000000000000e+00,0.000000000000000000e+00,1.012498649157544518e-10,1.465421421409399727e+02,1.397265625000000000e+07
3.326810176125244212e+00,1.211526207486987872e+01,-1.903174549261099310e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.957921013876850754e-11,1.478669595703617006e+02,1.432197265625000000e+07
3.334637964774951335e+00,1.167613901690382505e+01,-2.022977481437570896e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.823125625884542303e-11,1.492561025243193455e+02,1.467128906250000000e+07
3.342465753424657571e+00,1.121070308569268015e+01,-2.138432490808594594e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.679012463253470358e-11,1.507121736389302953e+02,1.502060546875000000e+07
3.350293542074364250e+00,1.071995703975774283e+01,-2.249267013680774835e+04,0.000000000000000000e+00,0.000000000000000000e+00,9.546561432048084903e-11,1.520773914530238642e+02,1.536992187500000000e+07
